ReNummer,SummeNetto,MwStSatz,ZahlungsbetragBrutto,KdNr,Summenebenkosten,ReDatum,Zahlungsdatum
103601,11786.7,0,0,78911,0,2025-04-04 00:00:00,NULL
103600,379,7,0,79666,0,2025-04-03 00:00:00,NULL
103599,160,7,0,30145,0,2025-04-04 00:00:00,NULL
103598,225,7,0,10383,0,2025-04-01 00:00:00,NULL
103597,1260,7,0,20213,0,2025-04-03 00:00:00,NULL
103596,3378,7,0,12220,0,2025-04-03 00:00:00,NULL
103595,58,7,62.06,10509,0,2025-03-24 00:00:00,2025-03-27 00:00:00
103594,1099,7,1175.93,79666,0,2025-04-02 00:00:00,2025-04-02 00:00:00
103593,9,7,9.63,10231,0,2025-04-02 00:00:00,2025-04-02 00:00:00
103592,120,7,0,10375,0,2025-03-31 00:00:00,NULL
103591,300,7,0,12572,0,2025-04-03 00:00:00,NULL
103590,2000,7,0,73287,0,2025-04-03 00:00:00,NULL
103589,2000,7,0,12407,0,2025-04-03 00:00:00,NULL
103588,750,7,0,20996,0,2025-04-03 00:00:00,NULL
103587,750,7,0,10256,0,2025-04-03 00:00:00,NULL
103586,400,7,0,12020,0,2025-04-03 00:00:00,NULL
103585,1900,7,0,20213,0,2025-04-03 00:00:00,NULL
103584,128,7,0,81411,0,2025-04-03 00:00:00,NULL
103583,2000,7,0,10838,0,2025-04-03 00:00:00,NULL
103582,350,7,0,10383,NULL,2025-04-03 00:00:00,NULL
103581,2950,7,0,20038,0,2025-04-03 00:00:00,NULL
103580,11000,7,0,20608,NULL,2025-04-03 00:00:00,NULL
103579,324,7,0,20288,0,2025-04-03 00:00:00,NULL
103578,200,0,0,73250,0,2025-04-03 00:00:00,NULL
103577,2200,0,0,30137,0,2025-04-03 00:00:00,NULL
103576,152,0,0,79834,0,2025-04-03 00:00:00,NULL
103575,400,0,0,79834,0,2025-04-03 00:00:00,NULL
103574,1325,7,0,10905,0,2025-04-03 00:00:00,NULL
103573,200,7,0,20020,0,2025-04-03 00:00:00,NULL
103572,3500,7,0,20020,0,2025-04-03 00:00:00,NULL
103571,297.5,0,0,80518,0,2025-04-03 00:00:00,NULL
103570,1225,0,0,79796,0,2025-04-03 00:00:00,NULL
103569,250,0,0,80409,0,2025-04-03 00:00:00,NULL
103568,800,0,0,79998,0,2025-04-03 00:00:00,NULL
103567,298.46,0,0,79699,0,2025-04-03 00:00:00,NULL
103566,625,0,0,79026,0,2025-04-03 00:00:00,NULL
103565,420,0,0,80843,0,2025-04-03 00:00:00,NULL
103564,1671.39,0,0,80876,0,2025-04-03 00:00:00,NULL
103563,333.33,0,0,80875,0,2025-04-03 00:00:00,NULL
103562,750,7,0,79536,0,2025-04-03 00:00:00,NULL
103561,310,7,0,20524,0,2025-04-02 00:00:00,NULL
103560,6217.33,0,0,78911,0,2025-04-02 00:00:00,NULL
103559,1554.33,0,0,77513,0,2025-04-02 00:00:00,NULL
103558,45,7,0,12441,0,2025-04-02 00:00:00,NULL
103557,1000,0,0,80837,0,2025-04-02 00:00:00,NULL
103556,1020,0,0,80598,0,2025-04-02 00:00:00,NULL
103555,1694,0,0,80598,0,2025-04-02 00:00:00,NULL
103554,2917,0,0,79222,0,2025-04-02 00:00:00,NULL
103553,167,0,0,80522,0,2025-04-02 00:00:00,NULL
103552,200,0,0,79720,0,2025-04-02 00:00:00,NULL
103551,67.5,0,0,73913,0,2025-04-02 00:00:00,NULL
103550,1602.63,0,0,75564,0,2025-04-02 00:00:00,NULL
103549,2156.6,0,0,80182,0,2025-04-02 00:00:00,NULL
103548,275,7,0,79652,0,2025-04-02 00:00:00,NULL
103547,1365.28,0,0,20691,0,2025-03-31 00:00:00,NULL
103546,40,0,0,20375,0,2025-04-02 00:00:00,NULL
103545,72,7,0,10207,0,2025-04-02 00:00:00,NULL
103544,270,0,0,78814,0,2025-04-02 00:00:00,NULL
103543,118,0,0,81408,0,2025-04-02 00:00:00,NULL
103542,66.6,7,0,79994,0,2025-04-01 00:00:00,NULL
103541,117,7,0,20843,0,2025-04-02 00:00:00,NULL
103540,1006.73,0,0,80028,0,2025-04-01 00:00:00,NULL
